contract_id,supplier_id,category,negotiated_price,payment_terms_days,contract_start_date,contract_end_date
1,1,MRO,177.52,60,2024-07-10,2025-09-27
2,2,Marketing,186.58,30,2024-07-08,2026-08-02
3,2,Office Supplies,208.72,45,2025-12-28,2028-02-18
4,3,Marketing,186.18,45,2025-08-13,2028-01-22
5,4,IT Hardware,205.3,60,2024-04-21,2026-03-27
6,4,Logistics,194.83,30,2025-07-03,2027-07-05
7,5,Raw Materials,189.4,60,2024-06-28,2026-09-12
8,6,Facilities,189.6,30,2024-11-22,2026-07-16
9,6,Raw Materials,208.12,60,2025-09-04,2027-10-26
10,7,Packaging,211.14,30,2024-10-09,2027-01-22
11,7,Office Supplies,204.69,30,2024-01-12,2025-03-08
12,9,Packaging,197.25,45,2025-08-05,2026-09-22
13,10,Professional Services,180.74,45,2026-01-18,2027-04-04
14,11,Facilities,207.71,30,2024-02-16,2026-02-01
15,11,Logistics,171.28,30,2023-12-04,2024-12-30
16,12,Electronics,203.29,60,2026-06-26,2027-10-31
17,13,Raw Materials,203.29,60,2026-01-03,2028-05-13
18,15,Office Supplies,204.9,45,2023-10-09,2024-10-29
19,15,Electronics,176.11,60,2024-02-08,2025-11-03
20,16,Facilities,205.3,45,2024-09-18,2025-12-10
21,18,IT Hardware,181.95,30,2024-06-01,2026-06-15
22,19,Marketing,173.3,30,2025-06-09,2027-05-04
23,19,Electronics,206.71,45,2025-10-10,2027-10-24
24,19,IT Hardware,174.7,60,2025-10-03,2027-01-09
25,20,Raw Materials,202.68,30,2024-08-14,2026-07-20
26,21,Marketing,176.92,30,2025-05-31,2027-10-19
27,21,Packaging,194.43,45,2023-12-17,2025-12-25
28,21,Facilities,208.92,30,2024-05-29,2025-08-16
29,22,Marketing,187.38,60,2025-04-27,2027-01-05
30,22,IT Hardware,176.52,60,2023-09-20,2025-02-14
31,22,Facilities,188.39,60,2025-05-15,2027-04-06
32,23,IT Hardware,187.59,30,2024-11-01,2026-06-07
33,23,Raw Materials,194.83,45,2025-08-23,2027-02-08
34,24,MRO,187.99,45,2024-12-03,2026-08-13
35,24,Logistics,194.03,45,2025-07-05,2027-05-03
36,25,Raw Materials,197.25,45,2026-09-03,2028-02-19
37,26,Electronics,188.39,45,2026-01-27,2027-12-27
38,27,Electronics,191.81,60,2026-07-11,2028-08-08
39,28,Packaging,192.01,30,2025-10-12,2027-12-13
40,28,Electronics,204.69,45,2024-05-14,2026-02-02
41,28,Professional Services,173.9,60,2024-07-07,2026-09-30
42,29,Raw Materials,182.35,45,2024-12-20,2026-06-16
43,29,Packaging,183.76,30,2024-08-20,2026-09-21
44,29,Professional Services,204.29,60,2023-12-16,2026-03-18
45,30,Professional Services,177.32,30,2026-03-04,2028-01-19
46,30,Electronics,185.77,45,2026-01-06,2028-06-01
47,31,Packaging,198.86,30,2023-12-20,2025-12-31
48,32,IT Hardware,196.84,45,2025-01-16,2026-01-21
49,33,Packaging,192.22,45,2023-12-14,2025-03-10
50,34,Professional Services,204.69,60,2023-12-03,2026-05-15
51,35,Raw Materials,204.9,60,2026-03-12,2028-08-22
52,35,IT Hardware,189.2,60,2025-09-26,2027-04-24
53,35,Logistics,201.47,30,2025-11-06,2027-06-26
54,36,MRO,177.12,30,2025-12-20,2027-03-26
55,36,Packaging,180.54,30,2024-05-18,2025-10-21
