delivery_id,po_id,delivery_date,delivered_qty,quality_status
1,1,2024-05-29,365,Accepted
2,2,2025-01-26,217,Accepted
3,3,2026-01-31,441,Accepted
4,4,2025-03-31,429,Partial
5,5,2025-07-15,101,Partial
6,6,2025-01-28,171,Partial
7,6,2025-02-12,172,Rejected
8,7,2024-02-15,68,Accepted
9,7,2024-02-16,68,Rejected
10,7,2024-02-08,70,Rejected
11,8,2024-03-29,59,Rejected
12,9,2024-08-10,373,Accepted
13,10,2024-07-07,282,Accepted
14,11,2025-10-25,60,Accepted
15,11,2025-11-04,60,Accepted
16,12,2025-10-06,177,Accepted
17,13,2025-10-10,230,Accepted
18,14,2025-05-04,29,Accepted
19,15,2025-03-17,13,Accepted
20,15,2025-03-25,13,Accepted
21,16,2025-05-15,99,Partial
22,16,2025-05-15,99,Accepted
23,17,2024-11-01,120,Accepted
24,18,2025-06-16,26,Partial
25,19,2025-08-27,351,Accepted
26,20,2025-08-17,359,Accepted
27,21,2025-05-11,497,Partial
28,22,2024-02-15,337,Accepted
29,23,2025-07-12,57,Accepted
30,24,2024-10-14,118,Accepted
31,24,2024-10-17,118,Rejected
32,25,2025-07-29,142,Accepted
33,26,2025-02-20,11,Accepted
34,26,2025-02-27,11,Accepted
35,26,2025-03-13,13,Accepted
36,27,2025-11-05,385,Rejected
37,28,2024-11-05,91,Accepted
38,29,2026-01-01,91,Accepted
39,30,2025-11-03,79,Partial
40,30,2025-10-15,79,Rejected
41,31,2024-10-09,197,Rejected
42,32,2025-02-02,16,Accepted
43,33,2025-02-23,31,Accepted
44,33,2025-03-03,31,Partial
45,34,2025-08-11,168,Accepted
46,35,2025-06-15,359,Accepted
47,36,2025-09-24,246,Rejected
48,37,2024-11-03,330,Accepted
49,38,2025-02-06,213,Accepted
50,39,2024-11-30,355,Rejected
51,40,2025-11-15,298,Rejected
52,41,2024-09-16,219,Rejected
53,41,2024-09-23,220,Accepted
54,42,2025-04-09,273,Accepted
55,43,2024-04-27,335,Rejected
56,44,2025-09-29,200,Accepted
57,45,2024-11-08,152,Partial
58,46,2024-10-23,398,Accepted
59,47,2025-04-28,402,Rejected
60,48,2025-02-07,301,Accepted
61,49,2025-10-25,338,Accepted
62,50,2025-01-26,13,Accepted
63,50,2025-01-28,14,Partial
64,51,2025-03-07,327,Rejected
65,52,2024-04-16,80,Accepted
66,52,2024-04-28,81,Accepted
67,53,2024-02-14,107,Partial
68,54,2024-11-14,115,Partial
69,55,2026-02-15,31,Accepted
70,56,2025-12-09,113,Rejected
71,57,2025-05-01,395,Partial
72,58,2025-05-30,207,Accepted
73,58,2025-06-04,208,Rejected
74,59,2024-11-03,150,Accepted
75,60,2024-06-18,422,Accepted
76,61,2024-01-18,132,Accepted
77,62,2024-09-16,81,Accepted
78,62,2024-09-29,81,Accepted
79,63,2024-09-15,77,Rejected
80,64,2024-06-24,191,Accepted
81,65,2024-07-28,131,Accepted
82,65,2024-07-23,132,Accepted
83,66,2024-03-22,432,Accepted
84,67,2025-04-30,37,Accepted
85,68,2025-11-25,399,Rejected
86,69,2025-06-27,74,Accepted
87,70,2024-11-29,444,Partial
88,71,2024-12-06,40,Accepted
89,72,2024-09-06,351,Accepted
90,73,2024-06-07,145,Partial
91,73,2024-05-28,145,Rejected
92,73,2024-06-03,147,Partial
93,74,2025-05-13,425,Accepted
94,75,2025-03-18,493,Accepted
95,76,2024-01-27,380,Accepted
96,77,2024-12-22,485,Partial
97,78,2024-09-01,302,Accepted
