invoice_id,po_id,invoice_date,price_charged,invoice_amount,payment_date,payment_amount,installment_number
1,1,2024-06-04,166.56,60794.4,2024-07-24,60794.4,1
2,2,2025-01-30,296.73,64390.41,2025-03-31,64390.41,1
3,3,2026-02-04,69.42,30614.22,2026-02-25,30614.22,1
4,4,2025-04-02,307.39,131870.31,2025-05-04,131870.31,1
5,5,2025-07-24,495.28,25011.64,2025-08-15,25011.64,1
6,5,2025-07-31,495.28,25011.64,2025-09-21,25011.64,2
7,6,2025-02-14,366.1,125572.3,2025-03-19,125572.3,1
8,7,2024-02-25,76.17,7845.51,2024-03-20,7845.51,1
9,7,2024-03-06,76.17,7845.51,2024-03-29,7845.51,2
10,8,2024-03-30,73.84,4356.56,2024-05-06,4356.56,1
11,9,2024-08-19,331.23,123548.79,2024-10-06,123548.79,1
12,10,2024-07-09,141.38,48351.96,2024-09-08,48351.96,1
13,11,2025-11-06,189.63,22755.6,2026-01-16,22755.6,1
14,12,2025-10-15,37.42,6623.34,2025-12-08,6623.34,1
15,13,2025-10-16,6.2,1426.0,2025-12-22,1426.0,1
16,14,2025-05-08,743.67,21566.43,2025-05-22,21566.43,1
17,15,2025-03-26,70.41,1830.66,2025-05-03,1830.66,1
18,16,2025-05-21,23.76,4704.48,2025-07-03,4704.48,1
19,17,2024-11-04,5.46,655.2,2024-12-28,655.2,1
20,18,2025-06-17,52.46,1678.72,2025-07-31,1678.72,1
21,19,2025-08-28,138.87,26663.04,2025-10-07,26663.04,1
22,19,2025-09-14,138.87,26663.04,2025-09-24,26663.04,2
23,20,2025-08-19,156.67,56244.53,2025-09-22,56244.53,1
24,21,2025-05-15,674.21,335082.37,2025-06-13,335082.37,1
25,22,2024-02-19,461.1,152667.74,2024-04-04,152667.74,1
26,23,2025-07-14,600.17,34209.69,2025-08-01,34209.69,1
27,24,2024-10-22,15.47,3650.92,2024-11-23,3650.92,1
28,24,2024-10-23,15.47,3650.92,2024-11-22,3650.92,1
