supplier_name,spend,cumulative_pct,abc_class
"Reid, Ferguson and Sanchez",7226539.21,4.6,A
"Romero, Gonzalez and Brooks",6547058.69,8.8,A
Cohen Inc,6155513.69,12.8,A
"Hayes, Wright and Brown",6151291.68,16.7,A
Brown PLC,6059400.89,20.6,A
Wyatt Inc,5989164.22,24.4,A
Nelson-Schaefer,5975067.88,28.3,A
Miller-Carter,5830752.13,32.0,A
"Brown, James and Ferrell",5824442.57,35.7,A
"Rodriguez, Figueroa and Sanchez",5418090.94,39.2,A
Burton Ltd,5254085.12,42.6,A
"Gill, Romero and Rodriguez",5220873.27,45.9,A
Johnson and Sons,4890668.48,49.0,A
"Garcia, Yang and Gardner",4735288.76,52.1,A
Anderson Group,4700642.50,55.1,A
Bernard LLC,4470845.35,57.9,A
Wolfe LLC,4339752.33,60.7,A
Trujillo Group,4261079.95,63.5,A
"Collins, Carney and Santos",4178417.74,66.1,A
Clark PLC,4050394.76,68.7,A
Davis-Williams,3757421.27,71.1,A
Blair PLC,3665952.17,73.5,A
"Le, Maldonado and Herrera",3421982.69,75.7,A
Maddox-Valencia,3291824.28,77.8,A
Robinson-Bright,2797753.90,79.6,A
"Guzman, Hoffman and Baldwin",2708945.04,81.3,B
Chavez-Flowers,2701899.38,83.0,B
"Ashley, Nielsen and Sellers",2681052.15,84.8,B
"Peterson, Carter and Moore",2568015.77,86.4,B
Rios Group,2563985.99,88.1,B
Baker PLC,2549021.57,89.7,B
Robinson-Lawrence,2502597.02,91.3,B
"Lee, Jones and Stanley",2438265.61,92.8,B
Hickman Ltd,2388406.37,94.4,B
"Baker, Richards and Hurst",2236887.72,95.8,C
Baker and Sons,1788835.10,97.0,C
Kelly-Santiago,1393287.26,97.9,C
Dennis Inc,1356358.85,98.7,C
Smith-Hickman,1053313.91,99.4,C
Davis-Abbott,943250.57,100.0,C
