month,category,total_qty_ordered
2024-11-01 00:00:00+05:30,Office Supplies,2462
2025-08-01 00:00:00+05:30,MRO,3339
2025-10-01 00:00:00+05:30,MRO,2044
2024-12-01 00:00:00+05:30,Professional Services,3241
2024-11-01 00:00:00+05:30,Facilities,4372
2025-06-01 00:00:00+05:30,Marketing,1251
2024-04-01 00:00:00+05:30,Marketing,2191
2025-12-01 00:00:00+05:30,Office Supplies,3017
2024-06-01 00:00:00+05:30,Office Supplies,1970
2024-07-01 00:00:00+05:30,Electronics,2719
2025-01-01 00:00:00+05:30,Office Supplies,1370
2025-07-01 00:00:00+05:30,Marketing,2921
2024-10-01 00:00:00+05:30,Professional Services,3072
2025-02-01 00:00:00+05:30,Marketing,2600
2025-12-01 00:00:00+05:30,Raw Materials,5939
2024-02-01 00:00:00+05:30,Packaging,3655
2024-04-01 00:00:00+05:30,Office Supplies,1357
2025-10-01 00:00:00+05:30,Facilities,2985
2024-06-01 00:00:00+05:30,Facilities,5288
2025-06-01 00:00:00+05:30,IT Hardware,5910
2025-08-01 00:00:00+05:30,Raw Materials,2903
2025-11-01 00:00:00+05:30,IT Hardware,4240
2024-08-01 00:00:00+05:30,IT Hardware,4218
2025-05-01 00:00:00+05:30,Electronics,3970
2025-01-01 00:00:00+05:30,Raw Materials,3688
2024-11-01 00:00:00+05:30,Professional Services,4848
2024-09-01 00:00:00+05:30,Professional Services,4276
2025-06-01 00:00:00+05:30,Professional Services,2391
2025-08-01 00:00:00+05:30,Professional Services,5579
2024-03-01 00:00:00+05:30,Packaging,2749
2025-11-01 00:00:00+05:30,MRO,2129
2025-10-01 00:00:00+05:30,Packaging,4100
2024-06-01 00:00:00+05:30,Marketing,2174
2025-05-01 00:00:00+05:30,Professional Services,1196
2025-05-01 00:00:00+05:30,MRO,1392
2025-09-01 00:00:00+05:30,IT Hardware,4265
2025-10-01 00:00:00+05:30,IT Hardware,2431
2025-03-01 00:00:00+05:30,Marketing,3232
2024-02-01 00:00:00+05:30,IT Hardware,2998
2024-07-01 00:00:00+05:30,Logistics,2256
2024-12-01 00:00:00+05:30,Marketing,2777
2024-01-01 00:00:00+05:30,Electronics,5511
2025-02-01 00:00:00+05:30,Packaging,2595
2025-01-01 00:00:00+05:30,Packaging,4668
2024-10-01 00:00:00+05:30,Logistics,2271
2025-06-01 00:00:00+05:30,MRO,1279
2025-11-01 00:00:00+05:30,Logistics,2731
2024-10-01 00:00:00+05:30,Marketing,570
2024-08-01 00:00:00+05:30,Marketing,3263
2025-02-01 00:00:00+05:30,Facilities,3194
2024-03-01 00:00:00+05:30,IT Hardware,4015
2024-04-01 00:00:00+05:30,Professional Services,3563
2024-07-01 00:00:00+05:30,Facilities,2798
2025-12-01 00:00:00+05:30,Packaging,4904
2024-09-01 00:00:00+05:30,Packaging,3344
2024-07-01 00:00:00+05:30,MRO,1967
2024-05-01 00:00:00+05:30,MRO,2253
2025-09-01 00:00:00+05:30,Electronics,3186
2024-10-01 00:00:00+05:30,Packaging,5471
2024-11-01 00:00:00+05:30,IT Hardware,4259
2024-02-01 00:00:00+05:30,Professional Services,1900
2024-08-01 00:00:00+05:30,Raw Materials,3357
2024-10-01 00:00:00+05:30,Facilities,4311
2024-11-01 00:00:00+05:30,Raw Materials,5892
2025-01-01 00:00:00+05:30,Marketing,1211
2025-04-01 00:00:00+05:30,Office Supplies,1499
2024-07-01 00:00:00+05:30,Professional Services,3412
2025-05-01 00:00:00+05:30,Packaging,6453
2024-03-01 00:00:00+05:30,Facilities,4537
2024-03-01 00:00:00+05:30,Logistics,2283
2024-08-01 00:00:00+05:30,Office Supplies,2760
2025-01-01 00:00:00+05:30,Electronics,5091
2024-09-01 00:00:00+05:30,Raw Materials,2596
2024-01-01 00:00:00+05:30,Professional Services,4354
2025-11-01 00:00:00+05:30,Facilities,3840
2025-03-01 00:00:00+05:30,Professional Services,3934
2025-07-01 00:00:00+05:30,IT Hardware,2531
2025-04-01 00:00:00+05:30,IT Hardware,4245
2024-06-01 00:00:00+05:30,Professional Services,7343
2025-12-01 00:00:00+05:30,IT Hardware,3469
2025-10-01 00:00:00+05:30,Office Supplies,1848
2024-06-01 00:00:00+05:30,Packaging,4568
2024-06-01 00:00:00+05:30,MRO,1244
2024-01-01 00:00:00+05:30,Packaging,3210
2025-02-01 00:00:00+05:30,Professional Services,1763
2024-04-01 00:00:00+05:30,MRO,1966
2024-03-01 00:00:00+05:30,MRO,4129
2024-06-01 00:00:00+05:30,Logistics,2174
2024-09-01 00:00:00+05:30,IT Hardware,1568
2024-02-01 00:00:00+05:30,Electronics,6041
2025-07-01 00:00:00+05:30,Packaging,2651
2024-11-01 00:00:00+05:30,MRO,2565
2024-08-01 00:00:00+05:30,Electronics,3544
2025-12-01 00:00:00+05:30,Marketing,2202
2025-03-01 00:00:00+05:30,Logistics,1635
2025-04-01 00:00:00+05:30,Marketing,1939
2024-02-01 00:00:00+05:30,Logistics,1780
2024-02-01 00:00:00+05:30,Marketing,2268
2025-01-01 00:00:00+05:30,Logistics,2889
2024-07-01 00:00:00+05:30,Marketing,2895
2025-08-01 00:00:00+05:30,Office Supplies,2048
2025-06-01 00:00:00+05:30,Logistics,2644
2025-02-01 00:00:00+05:30,IT Hardware,3505
2025-01-01 00:00:00+05:30,MRO,2227
2024-01-01 00:00:00+05:30,Logistics,296
2025-11-01 00:00:00+05:30,Professional Services,1873
2024-07-01 00:00:00+05:30,IT Hardware,3225
2025-03-01 00:00:00+05:30,IT Hardware,4084
2024-12-01 00:00:00+05:30,MRO,1262
2025-07-01 00:00:00+05:30,Facilities,4889
2025-02-01 00:00:00+05:30,Logistics,1397
2025-08-01 00:00:00+05:30,Marketing,2399
2024-05-01 00:00:00+05:30,Logistics,1224
2025-05-01 00:00:00+05:30,Office Supplies,2149
2025-07-01 00:00:00+05:30,Raw Materials,6954
2025-01-01 00:00:00+05:30,Professional Services,3889
2025-05-01 00:00:00+05:30,Marketing,667
2024-05-01 00:00:00+05:30,Raw Materials,1895
2024-04-01 00:00:00+05:30,Facilities,4283
2025-04-01 00:00:00+05:30,MRO,2359
2024-11-01 00:00:00+05:30,Electronics,2363
2025-09-01 00:00:00+05:30,MRO,1314
2025-12-01 00:00:00+05:30,Professional Services,3538
2025-04-01 00:00:00+05:30,Facilities,2008
2025-12-01 00:00:00+05:30,MRO,1830
2025-06-01 00:00:00+05:30,Electronics,4933
2025-07-01 00:00:00+05:30,Logistics,2466
2024-01-01 00:00:00+05:30,Facilities,4649
2025-12-01 00:00:00+05:30,Logistics,1742
2025-09-01 00:00:00+05:30,Logistics,1937
2025-05-01 00:00:00+05:30,Facilities,1809
2025-05-01 00:00:00+05:30,Raw Materials,3235
2025-08-01 00:00:00+05:30,Facilities,932
2024-12-01 00:00:00+05:30,Electronics,3940
2024-04-01 00:00:00+05:30,Raw Materials,5294
2024-10-01 00:00:00+05:30,Electronics,3957
2024-10-01 00:00:00+05:30,Office Supplies,4617
2024-05-01 00:00:00+05:30,Facilities,4856
2025-07-01 00:00:00+05:30,Electronics,5519
2025-04-01 00:00:00+05:30,Electronics,2602
2025-06-01 00:00:00+05:30,Packaging,3088
2025-10-01 00:00:00+05:30,Logistics,1639
2025-03-01 00:00:00+05:30,Packaging,1083
2025-11-01 00:00:00+05:30,Raw Materials,2900
2024-03-01 00:00:00+05:30,Professional Services,3867
2025-08-01 00:00:00+05:30,IT Hardware,2472
2025-06-01 00:00:00+05:30,Office Supplies,3433
2024-12-01 00:00:00+05:30,IT Hardware,3601
2025-09-01 00:00:00+05:30,Facilities,6979
2024-01-01 00:00:00+05:30,Office Supplies,1183
2025-11-01 00:00:00+05:30,Marketing,3098
2024-12-01 00:00:00+05:30,Facilities,4402
2025-04-01 00:00:00+05:30,Packaging,4888
2024-04-01 00:00:00+05:30,Logistics,2868
2024-05-01 00:00:00+05:30,Marketing,2850
2024-09-01 00:00:00+05:30,Electronics,5966
2024-11-01 00:00:00+05:30,Packaging,3830
2024-01-01 00:00:00+05:30,MRO,2595
2024-08-01 00:00:00+05:30,Packaging,5285
2025-11-01 00:00:00+05:30,Electronics,3620
2024-12-01 00:00:00+05:30,Office Supplies,1080
2024-05-01 00:00:00+05:30,Professional Services,4171
2024-05-01 00:00:00+05:30,Packaging,3487
2025-03-01 00:00:00+05:30,Facilities,4391
2025-12-01 00:00:00+05:30,Facilities,2720
2024-01-01 00:00:00+05:30,Raw Materials,5163
2024-09-01 00:00:00+05:30,Logistics,2618
2024-08-01 00:00:00+05:30,Logistics,1923
2025-08-01 00:00:00+05:30,Packaging,3625
2024-06-01 00:00:00+05:30,IT Hardware,1497
2024-12-01 00:00:00+05:30,Packaging,2992
2024-06-01 00:00:00+05:30,Raw Materials,2369
2024-03-01 00:00:00+05:30,Marketing,2053
2024-07-01 00:00:00+05:30,Office Supplies,2596
2024-08-01 00:00:00+05:30,MRO,1172
2024-04-01 00:00:00+05:30,Electronics,6800
2024-05-01 00:00:00+05:30,Office Supplies,3017
2024-03-01 00:00:00+05:30,Electronics,4568
2024-05-01 00:00:00+05:30,IT Hardware,2459
2025-08-01 00:00:00+05:30,Logistics,2209
2024-11-01 00:00:00+05:30,Marketing,1602
2024-01-01 00:00:00+05:30,Marketing,410
2024-03-01 00:00:00+05:30,Raw Materials,5240
2025-07-01 00:00:00+05:30,Office Supplies,1666
2025-01-01 00:00:00+05:30,IT Hardware,4776
2025-11-01 00:00:00+05:30,Office Supplies,2482
2024-08-01 00:00:00+05:30,Professional Services,2699
2025-09-01 00:00:00+05:30,Raw Materials,2849
2025-04-01 00:00:00+05:30,Logistics,2171
2025-03-01 00:00:00+05:30,Office Supplies,758
2024-12-01 00:00:00+05:30,Logistics,2318
2025-10-01 00:00:00+05:30,Professional Services,1929
2025-07-01 00:00:00+05:30,MRO,965
2025-09-01 00:00:00+05:30,Professional Services,4166
2025-09-01 00:00:00+05:30,Office Supplies,1347
2025-02-01 00:00:00+05:30,Electronics,3883
2024-09-01 00:00:00+05:30,MRO,2363
2025-08-01 00:00:00+05:30,Electronics,4153
2024-04-01 00:00:00+05:30,IT Hardware,3628
2024-10-01 00:00:00+05:30,MRO,2425
2024-09-01 00:00:00+05:30,Office Supplies,2572
2024-09-01 00:00:00+05:30,Marketing,1139
2024-03-01 00:00:00+05:30,Office Supplies,2956
2025-11-01 00:00:00+05:30,Packaging,3171
2025-04-01 00:00:00+05:30,Raw Materials,3375
2024-05-01 00:00:00+05:30,Electronics,6057
2025-10-01 00:00:00+05:30,Marketing,2048
2025-05-01 00:00:00+05:30,IT Hardware,1991
2025-09-01 00:00:00+05:30,Marketing,1999
2025-10-01 00:00:00+05:30,Raw Materials,3349
2024-09-01 00:00:00+05:30,Facilities,3941
2025-02-01 00:00:00+05:30,MRO,2121
2024-02-01 00:00:00+05:30,Facilities,2776
2024-07-01 00:00:00+05:30,Packaging,6046
2024-02-01 00:00:00+05:30,MRO,1709
2025-03-01 00:00:00+05:30,Raw Materials,3465
2025-06-01 00:00:00+05:30,Raw Materials,4483
2024-02-01 00:00:00+05:30,Raw Materials,2910
2024-12-01 00:00:00+05:30,Raw Materials,5194
2024-04-01 00:00:00+05:30,Packaging,5089
2024-01-01 00:00:00+05:30,IT Hardware,2834
2024-07-01 00:00:00+05:30,Raw Materials,2777
2025-06-01 00:00:00+05:30,Facilities,3290
2024-10-01 00:00:00+05:30,Raw Materials,3334
2025-07-01 00:00:00+05:30,Professional Services,2956
2025-01-01 00:00:00+05:30,Facilities,4139
2025-03-01 00:00:00+05:30,MRO,905
2025-03-01 00:00:00+05:30,Electronics,6196
2025-12-01 00:00:00+05:30,Electronics,7724
2024-02-01 00:00:00+05:30,Office Supplies,2059
2025-02-01 00:00:00+05:30,Office Supplies,1793
2025-02-01 00:00:00+05:30,Raw Materials,4299
2024-08-01 00:00:00+05:30,Facilities,4085
2024-06-01 00:00:00+05:30,Electronics,5379
2024-10-01 00:00:00+05:30,IT Hardware,3997
2025-05-01 00:00:00+05:30,Logistics,3493
2025-04-01 00:00:00+05:30,Professional Services,3337
2025-10-01 00:00:00+05:30,Electronics,4238
2024-11-01 00:00:00+05:30,Logistics,2207
2025-09-01 00:00:00+05:30,Packaging,4822
