supplier_name,payment_terms_days,avg_actual_days_to_pay,avg_days_over_terms
"Reid, Ferguson and Sanchez",45,48.4,3.4
"Le, Maldonado and Herrera",60,61.3,1.3
"Peterson, Carter and Moore",30,26.1,-3.9
Robinson-Bright,45,45.3,0.3
"Baker, Richards and Hurst",60,62.0,2.0
Brown PLC,60,58.5,-1.5
"Ashley, Nielsen and Sellers",45,43.5,-1.5
"Guzman, Hoffman and Baldwin",60,56.4,-3.6
"Romero, Gonzalez and Brooks",30,32.5,2.5
Blair PLC,45,45.9,0.9
Anderson Group,30,27.9,-2.1
Baker and Sons,45,43.9,-1.1
"Gill, Romero and Rodriguez",45,43.9,-1.1
Maddox-Valencia,60,59.5,-0.5
Clark PLC,30,25.6,-4.4
Johnson and Sons,45,45.8,0.8
Smith-Hickman,45,44.7,-0.3
Trujillo Group,30,31.8,1.8
Bernard LLC,30,30.4,0.4
Robinson-Lawrence,60,59.0,-1.0
"Rodriguez, Figueroa and Sanchez",60,57.7,-2.3
"Reid, Ferguson and Sanchez",60,59.6,-0.4
Chavez-Flowers,60,61.4,1.4
Baker and Sons,30,28.2,-1.8
"Gill, Romero and Rodriguez",30,31.9,1.9
Dennis Inc,30,31.5,1.5
"Le, Maldonado and Herrera",30,32.2,2.2
Wolfe LLC,60,59.3,-0.7
Wolfe LLC,30,30.4,0.4
Clark PLC,45,42.7,-2.3
"Guzman, Hoffman and Baldwin",30,31.7,1.7
"Garcia, Yang and Gardner",45,41.5,-3.5
Nelson-Schaefer,45,45.0,0.0
Wyatt Inc,60,58.9,-1.1
Clark PLC,60,56.1,-3.9
"Peterson, Carter and Moore",60,60.2,0.2
Rios Group,30,29.0,-1.0
Miller-Carter,45,43.9,-1.1
Robinson-Bright,30,32.2,2.2
Davis-Williams,45,44.4,-0.6
Burton Ltd,45,39.7,-5.3
Dennis Inc,60,57.2,-2.8
"Le, Maldonado and Herrera",45,43.4,-1.6
"Brown, James and Ferrell",45,44.9,-0.1
"Garcia, Yang and Gardner",30,30.8,0.8
"Peterson, Carter and Moore",45,42.7,-2.3
"Lee, Jones and Stanley",30,30.6,0.6
