po_id,invoice_1,invoice_2,invoice_amount,date_1,date_2
24,27,28,3650.92,2024-10-22,2024-10-23
42,48,49,34635.51,2025-04-10,2025-04-11
156,180,181,1553.64,2024-03-05,2024-03-08
237,273,274,45685.64,2024-04-06,2024-04-07
463,533,534,7989.75,2025-04-09,2025-04-11
720,836,837,471.96,2024-03-09,2024-03-11
739,860,861,44629.40,2025-01-24,2025-01-26
792,925,926,8903.40,2024-08-06,2024-08-08
806,941,942,103372.20,2025-02-17,2025-02-18
824,962,963,14469.84,2025-03-31,2025-04-02
886,1035,1036,3235.53,2024-08-24,2024-08-27
889,1039,1040,27756.72,2024-11-20,2024-11-21
903,1058,1059,1886.70,2025-01-04,2025-01-05
957,1119,1120,55989.82,2024-05-28,2024-05-31
963,1127,1128,1014.70,2025-01-22,2025-01-23
1041,1219,1220,15406.20,2025-07-17,2025-07-20
1131,1323,1324,25605.84,2025-07-28,2025-07-30
1183,1384,1385,2242.20,2024-06-10,2024-06-11
1231,1443,1444,17228.25,2025-03-30,2025-04-02
1294,1516,1517,8343.72,2025-07-05,2025-07-07
1325,1552,1553,47956.32,2025-11-20,2025-11-23
1434,1673,1674,24290.53,2025-04-22,2025-04-24
1471,1716,1717,37930.63,2024-10-29,2024-10-31
1525,1785,1786,17838.84,2024-05-15,2024-05-18
1751,2051,2052,15067.51,2024-04-01,2024-04-03
1806,2112,2113,20275.36,2024-11-29,2024-11-30
1820,2129,2130,8182.23,2024-12-19,2024-12-20
1857,2171,2172,5476.80,2025-05-01,2025-05-04
1891,2209,2210,76389.12,2025-06-26,2025-06-27
1911,2239,2240,11736.25,2024-10-09,2024-10-10
2129,2488,2489,6466.25,2025-12-05,2025-12-08
2180,2546,2547,1283.45,2024-09-09,2024-09-10
2196,2567,2568,2859.60,2025-12-17,2025-12-18
2202,2574,2575,42773.50,2025-11-09,2025-11-10
2330,2725,2726,26541.84,2024-08-16,2024-08-18
2397,2798,2799,22120.32,2026-01-15,2026-01-18
2433,2838,2839,22028.83,2024-12-11,2024-12-13
2704,3157,3158,7252.94,2025-09-19,2025-09-22
2749,3209,3210,147802.25,2024-08-16,2024-08-19
2780,3250,3251,6394.08,2024-07-29,2024-08-01
2797,3272,3273,24816.51,2024-08-05,2024-08-07
2870,3353,3354,259424.22,2025-06-19,2025-06-21
2906,3393,3394,2419.06,2025-06-14,2025-06-17
2922,3412,3413,20483.01,2024-03-15,2024-03-16
