supplier_name,category,avg_ppv_per_unit,total_ppv_impact
Baker and Sons,Facilities,-92.3300000000000000,-552027.23
Nelson-Schaefer,Facilities,-95.0702500000000000,-826800.65
"Guzman, Hoffman and Baldwin",IT Hardware,-114.7634482758620690,-606233.64
"Gill, Romero and Rodriguez",Professional Services,142.3269230769230769,938897.98
Rios Group,Raw Materials,-79.2255000000000000,-761702.58
Bernard LLC,Packaging,-161.7830769230769231,-1548439.76
Anderson Group,MRO,95.2857692307692308,519559.50
Clark PLC,Marketing,-37.4325000000000000,-277418.69
"Baker, Richards and Hurst",Marketing,-37.7150000000000000,-244323.44
Chavez-Flowers,Raw Materials,-47.0329850746268657,-900602.71
"Reid, Ferguson and Sanchez",Office Supplies,257.8529411764705882,2172451.54
"Le, Maldonado and Herrera",Packaging,-147.7650000000000000,-567778.61
Anderson Group,Packaging,-136.6931578947368421,-723159.29
Robinson-Lawrence,Raw Materials,-58.3794666666666667,-910390.98
Davis-Williams,MRO,128.7902631578947368,1404969.25
Dennis Inc,Raw Materials,-105.1077777777777778,-560060.70
"Peterson, Carter and Moore",Raw Materials,-11.8218181818181818,-190476.98
"Reid, Ferguson and Sanchez",Electronics,269.5820689655172414,2148858.88
Dennis Inc,IT Hardware,-64.3950000000000000,-234030.42
"Peterson, Carter and Moore",Professional Services,19.9606896551724138,144375.10
"Garcia, Yang and Gardner",Office Supplies,-24.5644444444444444,-61454.04
Robinson-Bright,Raw Materials,-30.8411428571428571,-338901.70
"Peterson, Carter and Moore",Packaging,-134.9743750000000000,-375027.38
Trujillo Group,IT Hardware,-76.2812000000000000,-788949.94
"Le, Maldonado and Herrera",Electronics,166.1700000000000000,887237.63
Dennis Inc,Logistics,-149.1973913043478261,-866393.24
Robinson-Bright,IT Hardware,-50.4577500000000000,-486662.61
Maddox-Valencia,Electronics,206.7577777777777778,1058409.94
"Brown, James and Ferrell",Electronics,166.9498571428571429,2842417.26
"Guzman, Hoffman and Baldwin",Logistics,-128.3775000000000000,-1021256.67
"Gill, Romero and Rodriguez",Electronics,188.8568000000000000,1113950.41
Baker and Sons,Packaging,-150.6835000000000000,-711899.29
Davis-Williams,Logistics,-142.5860000000000000,-1630795.16
Miller-Carter,Professional Services,172.9333333333333333,3088926.33
"Ashley, Nielsen and Sellers",IT Hardware,-91.6078947368421053,-2158849.77
Bernard LLC,Office Supplies,277.8866666666666667,2212707.81
"Lee, Jones and Stanley",Facilities,-83.2064285714285714,-515611.92
Wolfe LLC,Raw Materials,23.6822000000000000,351372.64
"Lee, Jones and Stanley",Logistics,-132.0213043478260870,-821829.56
Baker and Sons,Marketing,-37.1704545454545455,-188709.47
"Romero, Gonzalez and Brooks",Packaging,-155.8390909090909091,-1422876.57
Johnson and Sons,Marketing,-40.2757500000000000,-371099.93
Clark PLC,Electronics,233.9320588235294118,1447959.86
Wolfe LLC,Facilities,-82.9697674418604651,-835542.63
Brown PLC,Professional Services,119.0668571428571429,2339978.90
Wyatt Inc,Electronics,206.3727777777777778,2555051.93
Clark PLC,IT Hardware,-107.1428571428571429,-432287.86
"Le, Maldonado and Herrera",Professional Services,100.7239130434782609,530996.30
Burton Ltd,Raw Materials,-62.8479166666666667,-272214.92
"Baker, Richards and Hurst",Facilities,-92.0653846153846154,-543586.58
"Baker, Richards and Hurst",IT Hardware,-75.4613793103448276,-715867.04
Blair PLC,Packaging,-148.7680000000000000,-1268779.34
Smith-Hickman,Packaging,-144.4553571428571429,-3284322.61
"Garcia, Yang and Gardner",Marketing,-42.0760714285714286,-266752.12
"Rodriguez, Figueroa and Sanchez",MRO,94.0504761904761905,1893253.82
