category,item_name,standard_cost,avg_actual_price,pct_over_should_cost
IT Hardware,Laptops - Worry,23.69,24.20,2.2
Logistics,Freight - Economy,57.32,58.76,2.5
Professional Services,Consulting - Billion,360.10,370.72,2.9
Marketing,Events - Difficult,137.29,139.30,1.5
Logistics,Freight - Per,24.50,25.67,4.8
Packaging,Labels - Family,67.64,71.05,5.0
Facilities,Cleaning - Such,140.05,148.58,6.1
IT Hardware,Servers - Several,143.02,142.04,-0.7
Facilities,Utilities - Avoid,15.55,17.33,11.4
Facilities,Security - Land,38.98,41.38,6.2
Facilities,Utilities - Second,382.61,407.94,6.6
Office Supplies,Furniture - Still,526.26,567.09,7.8
Electronics,Components - Part,51.12,55.70,9.0
Electronics,Components - Account,32.33,34.36,6.3
Facilities,Security - Energy,31.94,34.08,6.7
Facilities,Cleaning - Discussion,118.38,131.51,11.1
MRO,Tools - Report,193.45,186.91,-3.4
Logistics,Warehousing - Manage,97.95,97.21,-0.8
Facilities,Utilities - Eight,66.53,72.58,9.1
Facilities,Utilities - Ready,93.63,100.23,7.1
IT Hardware,Laptops - Bill,428.40,433.11,1.1
Electronics,Components - Per,299.86,321.56,7.2
IT Hardware,Servers - Artist,25.16,25.86,2.8
Electronics,PCBs - Trade,815.90,871.11,6.8
Raw Materials,Plastics - Ask,5.76,5.97,3.6
Office Supplies,Stationery - Avoid,716.54,787.48,9.9
Marketing,Print Media - Us,160.16,159.37,-0.5
Professional Services,Consulting - Health,63.06,66.36,5.2
Raw Materials,Plastics - Mention,303.46,315.42,3.9
MRO,Safety Equipment - Training,239.01,238.76,-0.1
Facilities,Security - Race,40.23,43.90,9.1
MRO,Spare Parts - Investment,715.38,707.86,-1.1
Packaging,Pallets - Arm,48.33,50.28,4.0
Electronics,PCBs - Drop,1278.25,1331.72,4.2
Electronics,PCBs - Reason,369.77,399.58,8.1
Electronics,PCBs - Group,13.49,14.02,3.9
Packaging,Labels - Western,10.92,11.49,5.2
Facilities,Cleaning - Item,230.17,257.22,11.8
Logistics,Freight - Should,7.57,7.58,0.1
MRO,Tools - Almost,19.20,18.80,-2.1
Office Supplies,Stationery - Customer,253.81,286.27,12.8
Professional Services,Consulting - Own,273.94,286.39,4.5
Professional Services,Legal - Treat,800.13,816.03,2.0
Office Supplies,Furniture - My,228.79,252.88,10.5
Logistics,Warehousing - Notice,37.87,39.39,4.0
Logistics,Warehousing - Material,95.87,106.03,10.6
MRO,Safety Equipment - Material,111.25,110.67,-0.5
Logistics,Warehousing - Interesting,147.92,155.15,4.9
MRO,Tools - Lawyer,729.76,746.34,2.3
Professional Services,Consulting - Once,74.78,76.95,2.9
Packaging,Pallets - Give,57.86,61.09,5.6
Facilities,Cleaning - Relationship,118.94,127.53,7.2
Facilities,Security - Boy,119.04,134.92,13.3
MRO,Spare Parts - Author,346.76,345.41,-0.4
Electronics,PCBs - Drug,68.81,74.14,7.7
Logistics,Freight - Shoulder,13.65,14.16,3.7
Logistics,Freight - Cause,80.10,83.10,3.7
IT Hardware,Laptops - Surface,57.61,58.60,1.7
Office Supplies,Stationery - Between,25.45,27.64,8.6
IT Hardware,Networking - Program,41.06,42.30,3.0
