category,region,business_unit,order_year,total_spend
MRO,North,Operations,2025,289910.15
Electronics,North,IT,2025,1648129.76
Facilities,Central,Manufacturing,2025,168926.01
Raw Materials,East,Manufacturing,2024,466802.17
Raw Materials,East,Marketing,2025,998292.71
Packaging,West,IT,2024,109776.21
Electronics,North,Operations,2025,2352017.78
IT Hardware,East,IT,2025,156192.66
Electronics,West,Manufacturing,2024,1084572.59
Electronics,North,R&D,2025,929708.52
Packaging,Central,Marketing,2024,40877.24
Facilities,North,R&D,2025,164004.62
Electronics,South,Manufacturing,2025,707288.45
Facilities,West,IT,2024,15869.32
Raw Materials,South,IT,2024,338950.96
Facilities,South,R&D,2024,460071.70
IT Hardware,East,Manufacturing,2024,102609.32
Facilities,West,Finance,2024,29888.16
IT Hardware,West,Finance,2025,326998.00
Electronics,East,IT,2024,450462.87
Professional Services,North,Manufacturing,2024,637746.48
Office Supplies,South,Operations,2025,460049.37
Packaging,East,R&D,2024,113467.50
Logistics,West,Manufacturing,2024,163630.03
Raw Materials,South,Manufacturing,2024,140261.46
Facilities,North,Finance,2024,403056.31
Professional Services,West,Finance,2025,110554.28
Packaging,Central,Manufacturing,2025,6066.94
MRO,North,R&D,2024,471357.65
Office Supplies,East,Finance,2025,528838.15
Packaging,West,Operations,2024,173780.66
Facilities,East,IT,2024,124913.38
Raw Materials,West,Finance,2025,787004.74
Electronics,East,Finance,2024,1263329.62
Office Supplies,West,Operations,2025,1866592.56
Professional Services,North,Operations,2024,1244716.89
Logistics,West,Manufacturing,2025,265292.61
MRO,West,Marketing,2025,1124293.93
Professional Services,East,Finance,2024,287647.45
Facilities,North,R&D,2024,368145.79
Electronics,West,R&D,2025,997366.35
Professional Services,South,Manufacturing,2025,768269.19
MRO,North,Finance,2025,414897.24
Professional Services,East,Manufacturing,2024,919990.16
IT Hardware,West,Manufacturing,2025,285518.19
Packaging,West,Manufacturing,2025,79821.05
Facilities,West,Finance,2025,187261.14
Professional Services,East,Finance,2025,521883.61
Raw Materials,East,IT,2025,577006.94
Marketing,South,IT,2025,13258.80
Marketing,West,Operations,2025,432343.95
Raw Materials,East,Finance,2025,319093.77
Electronics,North,Marketing,2024,1163809.30
Packaging,East,Manufacturing,2025,29627.66
Marketing,West,Manufacturing,2025,312595.72
Professional Services,North,R&D,2024,393353.74
IT Hardware,West,R&D,2025,672963.11
Office Supplies,South,R&D,2025,329693.58
Office Supplies,South,Finance,2025,218151.43
MRO,North,Manufacturing,2024,261333.88
