supplier_id,business_unit,order_date,po_count,combined_amount
38,R&D,2024-03-13,2,26921.14
28,IT,2025-05-05,2,24007.67
25,Operations,2025-09-30,2,41699.24
27,Manufacturing,2024-04-20,2,24022.88
18,Finance,2025-03-24,2,23079.88
18,IT,2024-03-20,2,36494.60
35,Manufacturing,2024-10-26,2,16371.29
17,Finance,2025-12-04,2,42671.03
24,Manufacturing,2025-08-04,2,29081.96
5,Marketing,2024-08-29,2,2405.73
11,Manufacturing,2025-01-30,2,8634.73
21,Finance,2024-12-23,2,45406.53
4,Marketing,2024-02-22,2,9986.25
33,Operations,2025-11-03,3,56806.42
20,R&D,2024-07-23,2,36399.15
