supplier_name,total_orders,on_time_pct,in_full_pct,quality_pct,otif_pct
Clark PLC,76,25.0,86.8,57.9,18.4
Brown PLC,70,22.9,90.0,40.0,7.1
"Lee, Jones and Stanley",76,19.7,92.1,43.4,6.6
"Brown, James and Ferrell",70,24.3,90.0,52.9,11.4
Burton Ltd,90,7.8,93.3,53.3,3.3
Bernard LLC,72,15.3,90.3,52.8,11.1
"Collins, Carney and Santos",76,23.7,93.4,55.3,14.5
Davis-Abbott,68,26.5,88.2,57.4,10.3
Kelly-Santiago,75,26.7,92.0,61.3,17.3
Baker PLC,87,16.1,92.0,50.6,11.5
Anderson Group,73,20.5,94.5,52.1,8.2
Chavez-Flowers,67,20.9,89.6,50.7,9.0
Smith-Hickman,84,19.0,89.3,58.3,10.7
Nelson-Schaefer,80,20.0,91.3,62.5,13.8
"Le, Maldonado and Herrera",61,27.9,83.6,55.7,9.8
"Baker, Richards and Hurst",73,20.5,89.0,60.3,11.0
"Garcia, Yang and Gardner",75,14.7,85.3,58.7,8.0
"Reid, Ferguson and Sanchez",63,14.3,88.9,41.3,4.8
Dennis Inc,66,21.2,90.9,68.2,13.6
Cohen Inc,85,11.8,97.6,52.9,3.5
Hickman Ltd,80,26.3,92.5,65.0,18.8
"Peterson, Carter and Moore",67,17.9,83.6,59.7,9.0
Robinson-Bright,75,18.7,88.0,53.3,10.7
Johnson and Sons,74,12.2,94.6,44.6,6.8
Wyatt Inc,69,21.7,87.0,53.6,10.1
"Hayes, Wright and Brown",74,9.5,91.9,41.9,5.4
Trujillo Group,87,23.0,95.4,49.4,8.0
"Romero, Gonzalez and Brooks",79,24.1,89.9,45.6,10.1
Wolfe LLC,93,17.2,89.2,48.4,7.5
"Ashley, Nielsen and Sellers",95,25.3,87.4,56.8,12.6
"Rodriguez, Figueroa and Sanchez",84,22.6,84.5,59.5,15.5
Blair PLC,63,15.9,92.1,65.1,11.1
Rios Group,77,18.2,89.6,51.9,9.1
Davis-Williams,78,24.4,84.6,64.1,15.4
Maddox-Valencia,64,21.9,92.2,56.3,14.1
Robinson-Lawrence,75,22.7,88.0,52.0,9.3
"Guzman, Hoffman and Baldwin",76,18.4,89.5,52.6,7.9
Baker and Sons,67,22.4,88.1,49.3,9.0
"Gill, Romero and Rodriguez",76,15.8,89.5,53.9,7.9
Miller-Carter,60,25.0,93.3,51.7,10.0
